Name,Nom,Growth,Soil,Sunlight,Watering,Fertilization,Life_cycle,Type_subshrub,Type_climbing,Type_succulent,Type_tree,Type_epiphytic,Type_shrub,Type_herbaceous,Usage_industrial,Usage_ornamental,Usage_aromatic,Usage_medicinal,Usage_melliferae,Usage_fodder,Usage_vegetable,Usage_fruit,Usage_spice,Usage_oil
brassica,Brassica,1,4,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
bromeliad,Broméliacée,1,3,0,0,4,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
cocoa tree,Cacaoyer,1,4,2,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
cactus,Cactus,0,0,2,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
orchid cactus,Cactus orchidée,0,0,0,0,2,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
calathea,Calathea,1,3,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
calendula,Calendula,1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
camellia,Camélia,0,1,1,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
camelina,Caméline,2,2,2,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
chamomile,Camomille,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
campanula,Campanule,1,0,1,2,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
canna lily,Canna,2,3,2,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
sugarcane,Canne à sucre,2,3,2,3,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
rubber plant,Caoutchouc,1,3,0,1,4,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
nasturtium,Capucine,2,3,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
carrot,Carotte,1,0,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
carob tree,Caroubier,0,3,2,1,4,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
amaltas (golden shower),Cassia fistula (pluie d'or),1,0,2,1,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
blackcurrant,Cassis,1,1,2,2,1,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
catmint,Cataire,1,3,2,0,4,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
