Name,Nom,Growth,Soil,Sunlight,Watering,Fertilization,Life_cycle,Type_subshrub,Type_climbing,Type_succulent,Type_tree,Type_epiphytic,Type_shrub,Type_herbaceous,Usage_industrial,Usage_ornamental,Usage_aromatic,Usage_medicinal,Usage_melliferae,Usage_fodder,Usage_vegetable,Usage_fruit,Usage_spice,Usage_oil
lilac,Lilas,1,3,2,3,4,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
blazing star,Lis à grandes feuilles,1,2,2,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
toad lily,Lis crapaud,0,3,1,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
litchi,Litchi,1,3,2,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
lobelia,Lobélie,2,3,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
lotus,Lotus,1,2,2,2,4,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
luffa,Luffa,2,3,2,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
lupine,Lupin,1,0,2,0,4,2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
chinese lantern plant,Lychnis,1,2,1,1,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
aztec lily,Lys aztèque,0,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
tiger lily,Lys tigré,1,3,2,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
magnolia,Magnolia,0,1,2,1,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
corn,Maïs,2,2,2,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
malva (mallow),Malva (mauve),1,3,2,3,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
mandevilla,Mandevilla,2,2,2,3,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mango,Mangue,1,0,2,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
lady's mantle,Manteau de notre-dame,1,2,1,2,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
maranta (prayer plant),Maranta (plante de prière),1,2,1,3,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
neem tree,Margousier,2,0,2,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
daisy,Marguerite,1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
shasta daisy,Marguerite de shasta,1,0,2,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
marjoram,Marjolaine,1,0,2,1,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
mallow,Mauve,2,2,2,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
lemon balm,Mélisse,1,3,1,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
mint,Menthe,2,3,1,2,4,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
mimosa,Mimosa,2,2,2,3,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
wandering jew,Misère,2,3,0,0,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
bee balm,Monarde,1,3,1,2,1,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
monstera,Monstera,1,3,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
moringa,Moringa,2,0,2,3,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
mustard,Moutarde,2,2,2,3,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
snapdragon,Muflier,2,3,2,0,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
lily of the valley,Muguet,0,1,1,3,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
mulberry,Mûrier,1,3,2,3,1,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
grape hyacinth,Muscari,2,2,2,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
nandina (heavenly bamboo),Nandina (bambou céleste),1,3,1,3,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
nectarine,Nectarine,0,2,2,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
neoregalia (bromeliad),Neoregalia (broméliacée),1,4,0,3,4,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
nutmeg,Noix de muscade,1,2,2,3,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
carnation,Oeillet,1,3,2,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
sweet william,Oeillet de poète,2,0,2,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
bird of paradise,Oiseau de paradis,1,3,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
olive tree,Olivier,1,0,2,1,4,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
bamboo orchid,Orchidée bambou,1,3,0,2,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
orchids,Orchidées,1,3,0,0,4,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
lamb's ear,Oreille d'agneau,1,0,2,0,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
oregano,Origan,1,0,2,1,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
sedum,Orpin,0,0,2,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
nettle,Ortie,2,3,2,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
money plant,Pachira,1,3,0,1,4,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
bamboo palm,Palmier bambou,0,3,0,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
areca palm,Palmier d'areca,0,3,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
date palm (khajoor),Palmier dattier (khajoor),1,0,2,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
majesty palm,Palmier majestueux,0,3,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
sago palm,Palmier sagoutier,0,3,2,3,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
sea holly,Panicaut des dunes,0,0,2,1,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
passionflower,Passiflore,2,3,2,3,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
california poppy,Pavot de californie,2,0,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
peepal tree (bodhi tree),Peepal tree (bodhi tree),1,2,1,3,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
pansy,Pensée,1,3,1,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
peperomia,Peperomia,0,3,0,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
snowdrop,Perce-neige,0,3,2,3,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
parsley,Persil,1,3,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
periwinkle,Pervenche,1,0,2,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
petunia,Pétunia,2,3,2,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
petunia (trailing),Pétunia (retombant),2,0,2,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
philodendron,Philodendron,1,3,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
phlox,Phlox,1,3,2,1,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
larkspur,Pied d'alouette,1,3,1,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
pilea,Pilea,1,2,0,1,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
chili pepper,Piment,2,2,2,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
pine,Pin,0,0,2,1,4,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
dandelion,Pissenlit,2,3,2,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
peony,Pivoine,0,3,2,0,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
tobacco plant,Plant de tabac,2,2,2,3,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
spider plant,Plante araignée,1,2,0,2,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
jade plant,Plante de jade,0,0,0,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
succulent,Plante grasse,0,0,2,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
snake plant,Plante serpent,0,3,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
zebra plant,Plante zèbre,1,4,1,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
zz plant,Plante zz,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
succulents (general),Plantes succulentes (général),0,0,2,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
balloon flower,Platycodon,1,0,2,0,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
mayapple,Podophylle pelté,0,3,1,3,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
sweet pea,Pois de senteur,2,2,2,0,4,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
pepper plant,Poivrier,1,3,2,3,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
red hot poker (kniphofia),Poker rouge (kniphofia),1,3,2,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
apple tree,Pommier,0,0,2,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
portulaca,Portulaca,2,0,2,1,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
pothos,Pothos,2,3,0,1,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pothos (golden pathos),Pothos (pothos doré),2,2,0,1,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
jade pothos,Pothos de jade,1,3,0,2,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
purslane,Pourpier,2,3,2,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
protea,Protea,0,3,2,3,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
quinoa,Quinoa,2,2,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
radish,Radis,2,3,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
rhododendron,Rhododendron,0,1,1,3,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
rosemary,Romarin,1,3,2,1,0,2,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
rosemary mint,Romarin menthe,1,3,1,3,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
rose of sharon,Rose de sharon,1,4,2,3,4,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
hollyhock,Rose trémière,1,3,2,0,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
rudbeckia,Rudbeckie,1,0,2,0,1,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
black-eyed susan,Rudbeckie hérissée,1,0,2,0,4,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
cabbage palm,Sabal palmetto,1,0,2,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
bloodroot,Sanguinaria,0,4,1,2,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
buckwheat,Sarrasin,2,0,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
salvia,Sauge,1,0,2,0,4,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
pineapple sage,Sauge ananas,2,2,2,3,4,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
hummingbird sage,Sauge colibri,1,3,2,3,1,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
russian sage,Sauge russe,0,0,2,1,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
scabiosa (pincushion flower),Scabieuse (fleur coussin),1,2,2,3,1,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
scilla,Scille,1,4,2,3,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
redwood,Séquoia,0,4,2,3,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
silene (catchfly),Silène (silène enflé),1,2,2,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
marigold,Souci,2,3,2,1,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
marigold (african),Souci (africain),2,2,2,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
stevia,Stévia,0,3,1,0,1,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
elderberry,Sureau,2,4,2,3,1,2,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
tansy,Tanaisie,0,2,2,3,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
taro,Taro,1,4,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
teak,Teck,0,3,2,3,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
themeda (kangaroo grass),Thémida (herbe kangourou),2,0,2,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
thyme,Thym,1,0,2,1,1,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
tomato,Tomate,2,3,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
jerusalem artichoke,Topinambour,2,2,2,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
sunflower,Tournesol,2,3,2,0,4,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
clover,Trèfle,2,2,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
quaking aspen,Tremble à feuilles de peuplier,1,3,2,3,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
ligustrum,Troène,2,2,1,1,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
tuberose,Tubéreuse,0,0,2,3,1,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
tulip,Tulipe,0,0,2,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
tulsi (holy basil),Tulsi (basilic sacré),2,3,2,2,4,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
coltsfoot,Tussilage,0,4,1,1,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
goldenrods,Verges d'or,1,2,2,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
veronica,Véronique,1,0,2,0,2,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
verbena,Verveine,1,0,2,0,2,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
grape vine,Vigne,1,1,2,3,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sweet potato vine,Vigne de patate douce,2,3,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
potato vine,Vigne de pomme de terre,2,3,2,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
viola,Viola,1,3,2,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
violet,Violette,1,4,0,3,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
african violet,Violette africaine,1,3,0,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
yucca,Yucca,0,0,2,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
zea mays (corn),Zea mays (maïs),2,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
zinnia,Zinnia,2,3,2,0,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
